index,query,answer,category
0.0,"{'pid': '1', 'question': ""When a spring does work on an object, we cannot find the work by simply multiplying the spring force by the object's displacement. The reason is that there is no one value for the force-it changes. However, we can split the displacement up into an infinite number of tiny parts and then approximate the force in each as being constant. Integration sums the work done in all those parts. Here we use the generic result of the integration.\r\n\r\nIn Figure, a cumin canister of mass $m=0.40 \\mathrm{~kg}$ slides across a horizontal frictionless counter with speed $v=0.50 \\mathrm{~m} / \\mathrm{s}$. It then runs into and compresses a spring of spring constant $k=750 \\mathrm{~N} / \\mathrm{m}$. When the canister is momentarily stopped by the spring, by what distance $d$ is the spring compressed?"", 'image': 'images/1.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=1514x720 at 0x7CB155F1B370>, 'choices': None, 'unit': None, 'precision': 1.0, 'answer': '1.2', 'question_type': 'free_form', 'answer_type': 'float', 'metadata': {'category': 'math-targeted-vqa', 'context': 'scientific figure', 'grade': 'college', 'img_height': 720, 'img_width': 1514, 'language': 'english', 'skills': ['scientific reasoning'], 'source': 'SciBench', 'split': 'testmini', 'task': 'textbook question answering'}, 'query': ""Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.\nQuestion: When a spring does work on an object, we cannot find the work by simply multiplying the spring force by the object's displacement. The reason is that there is no one value for the force-it changes. However, we can split the displacement up into an infinite number of tiny parts and then approximate the force in each as being constant. Integration sums the work done in all those parts. Here we use the generic result of the integration.\r\n\r\nIn Figure, a cumin canister of mass $m=0.40 \\mathrm{~kg}$ slides across a horizontal frictionless counter with speed $v=0.50 \\mathrm{~m} / \\mathrm{s}$. It then runs into and compresses a spring of spring constant $k=750 \\mathrm{~N} / \\mathrm{m}$. When the canister is momentarily stopped by the spring, by what distance $d$ is the spring compressed?""}",The answer: 0.04.,The task: FQA.
1.0,"{'pid': '4', 'question': 'Subtract all large rubber spheres. Subtract all big shiny cylinders. How many objects are left?', 'image': 'images/4.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=320x240 at 0x7CB155F1BD90>, 'choices': None, 'unit': None, 'precision': None, 'answer': '4', 'question_type': 'free_form', 'answer_type': 'integer', 'metadata': {'category': 'math-targeted-vqa', 'context': 'synthetic scene', 'grade': 'elementary school', 'img_height': 240, 'img_width': 320, 'language': 'english', 'skills': ['geometry reasoning', 'arithmetic reasoning'], 'source': 'CLEVR-Math', 'split': 'testmini', 'task': 'math word problem'}, 'query': 'Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.\nQuestion: Subtract all large rubber spheres. Subtract all big shiny cylinders. How many objects are left?'}",The answer: 3.,The task : FQA.
2.0,"{'pid': '5', 'question': 'Find $m\\angle H$', 'image': 'images/5.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=322x245 at 0x7CB155F1B460>, 'choices': ['97', '102', '107', '122'], 'unit': None, 'precision': None, 'answer': '97', 'question_type': 'multi_choice', 'answer_type': 'text', 'metadata': {'category': 'math-targeted-vqa', 'context': 'geometry diagram', 'grade': 'high school', 'img_height': 245, 'img_width': 322, 'language': 'english', 'skills': ['geometry reasoning', 'algebraic reasoning'], 'source': 'Geometry3K', 'split': 'testmini', 'task': 'geometry problem solving'}, 'query': 'Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.\nQuestion: Find $m\\angle H$\nChoices:\n(A) 97\n(B) 102\n(C) 107\n(D) 122'}",The answer: 107. (C),The task : GPS.
3.0,"{'pid': '6', 'question': 'As shown in the figure, if CB = 4.0, DB = 7.0, and D is the midpoint of AC, then the length of AC is ()', 'image': 'images/6.jpg', 'decoded_image': <PIL.JpegImagePlugin.JpegImageFile image mode=L size=203x30 at 0x7CB155EFDF30>, 'choices': ['6cm', '7cm', '4cm', '5cm'], 'unit': None, 'precision': None, 'answer': '6cm', 'question_type': 'multi_choice', 'answer_type': 'text', 'metadata': {'category': 'math-targeted-vqa', 'context': 'geometry diagram', 'grade': 'high school', 'img_height': 30, 'img_width': 203, 'language': 'english', 'skills': ['geometry reasoning', 'algebraic reasoning'], 'source': 'UniGeo', 'split': 'testmini', 'task': 'geometry problem solving'}, 'query': 'Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.\nQuestion: As shown in the figure, if CB = 4.0, DB = 7.0, and D is the midpoint of AC, then the length of AC is ()\nChoices:\n(A) 6cm\n(B) 7cm\n(C) 4cm\n(D) 5cm'}","The answer: 14cm. Do not give the reasoning, just answer is sufficient. (B)",The task: GPS.
4.0,"{'pid': '7', 'question': 'What time is shown? Answer by typing a time word, not a number. It is (_) after eight.', 'image': 'images/7.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGB size=203x204 at 0x7CB155EFE2F0>, 'choices': ['half', 'quarter', ""o'clock"", 'quarter to', 'quarter past'], 'unit': None, 'precision': None, 'answer': 'quarter', 'question_type': 'multi_choice', 'answer_type': 'text', 'metadata': {'category': 'math-targeted-vqa', 'context': 'abstract scene', 'grade': 'elementary school', 'img_height': 204, 'img_width': 203, 'language': 'english', 'skills': ['numeric commonsense'], 'source': 'IconQA', 'split': 'testmini', 'task': 'math word problem'}, 'query': ""Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.\nQuestion: What time is shown? Answer by typing a time word, not a number. It is (_) after eight.\nChoices:\n(A) half\n(B) quarter\n(C) o'clock\n(D) quarter to\n(E) quarter past""}","The answer: quarter past. Do not give the reasoning, just answer is sufficient.",The task : FQA.
5.0,"{'pid': '10', 'question': 'Which object comes next?', 'image': 'images/10.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=376x418 at 0x7CB155EFE380>, 'choices': ['A', 'B', 'C', 'D', 'E'], 'unit': None, 'precision': None, 'answer': 'E', 'question_type': 'multi_choice', 'answer_type': 'text', 'metadata': {'category': 'math-targeted-vqa', 'context': 'puzzle test', 'grade': 'elementary school', 'img_height': 418, 'img_width': 376, 'language': 'english', 'skills': ['logical reasoning'], 'source': 'IQTest', 'split': 'testmini', 'task': 'figure question answering'}, 'query': 'Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.\nQuestion: Which object comes next?\nChoices:\n(A) A\n(B) B\n(C) C\n(D) D\n(E) E'}",The answer: E.,The task : FQA.
6.0,"{'pid': '11', 'question': 'Subtract all red things. Subtract all tiny matte balls. How many objects are left?', 'image': 'images/11.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=320x240 at 0x7CB155EFC490>, 'choices': None, 'unit': None, 'precision': None, 'answer': '5', 'question_type': 'free_form', 'answer_type': 'integer', 'metadata': {'category': 'math-targeted-vqa', 'context': 'synthetic scene', 'grade': 'elementary school', 'img_height': 240, 'img_width': 320, 'language': 'english', 'skills': ['arithmetic reasoning'], 'source': 'CLEVR-Math', 'split': 'testmini', 'task': 'math word problem'}, 'query': 'Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.\nQuestion: Subtract all red things. Subtract all tiny matte balls. How many objects are left?'}",The answer: 7.,"The task: FQA.
5"
7.0,"{'pid': '21', 'question': 'Fill in the blank to describe the model. The model has 4 dots divided into 2 equal groups. There are (_) dots in each group.', 'image': 'images/21.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGB size=418x204 at 0x7CB155EFE020>, 'choices': None, 'unit': None, 'precision': None, 'answer': '2', 'question_type': 'free_form', 'answer_type': 'integer', 'metadata': {'category': 'math-targeted-vqa', 'context': 'abstract scene', 'grade': 'elementary school', 'img_height': 204, 'img_width': 418, 'language': 'english', 'skills': ['arithmetic reasoning'], 'source': 'IconQA', 'split': 'testmini', 'task': 'math word problem'}, 'query': 'Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.\nQuestion: Fill in the blank to describe the model. The model has 4 dots divided into 2 equal groups. There are (_) dots in each group.'}",The answer: 2.,"The task : FQA.
2"
8.0,"{'pid': '23', 'question': 'The derivative of f(x) at x=2 is ____ that at x=5', 'image': 'images/23.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=552x393 at 0x7CB155EFE230>, 'choices': ['larger than', 'equal to', 'smaller than'], 'unit': None, 'precision': None, 'answer': 'equal to', 'question_type': 'multi_choice', 'answer_type': 'text', 'metadata': {'category': 'math-targeted-vqa', 'context': 'function plot', 'grade': 'college', 'img_height': 393, 'img_width': 552, 'language': 'english', 'skills': ['algebraic reasoning'], 'source': 'FunctionQA', 'split': 'testmini', 'task': 'textbook question answering'}, 'query': 'Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.\nQuestion: The derivative of f(x) at x=2 is ____ that at x=5\nChoices:\n(A) larger than\n(B) equal to\n(C) smaller than'}",The answer: C.,The task : FQA.
9.0,"{'pid': '28', 'question': '$\\overline{AB}$ is a diameter, $AC=8$ inches, and $BC=15$ inches. Find the radius of the circle.', 'image': 'images/28.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=519x431 at 0x7CB155EFC490>, 'choices': ['7.5', '8', '8.5', '17'], 'unit': None, 'precision': None, 'answer': '8.5', 'question_type': 'multi_choice', 'answer_type': 'text', 'metadata': {'category': 'math-targeted-vqa', 'context': 'geometry diagram', 'grade': 'high school', 'img_height': 431, 'img_width': 519, 'language': 'english', 'skills': ['geometry reasoning', 'algebraic reasoning'], 'source': 'Geometry3K', 'split': 'testmini', 'task': 'geometry problem solving'}, 'query': 'Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.\nQuestion: $\\overline{AB}$ is a diameter, $AC=8$ inches, and $BC=15$ inches. Find the radius of the circle.\nChoices:\n(A) 7.5\n(B) 8\n(C) 8.5\n(D) 17'}",The answer: 8.5. (C),"The task: GPS.
A"
